"Niveaux_des_prix";"Qualite_du_service_client";"Qualite_garantie";"Satisfaction";"Resume";"Plus";"Moins"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"inadmissible";"aucun";"venant de souscrire chez eux j'attend le dernier document qu'il me manque pour leur fournir et harceler tous les jours appel sur appel je suis obliger d'éteindre mon téléphone tellement c'est insupportable j'ai demandé à changer de conseiller car mon ami qui n'a pas le même conseiller et qui manque le même document n'est pas appelé autant que ca et quand c'est lui qui décroche çà raccroche. Manque très sérieusement de proffesionalisme si j'avais pu mettre aucune étoile je l'aurais fait je n''est jamais vu une assurance aussi négligeable que ça à ne surtout pas aller. il est clair que je ne leur ferais pas de pub."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"ATTENTION!!! (ASSUREO ---TOLERANCE ZERO) j'ai mon permis depuis 6 ans A mon premier et UNIQUE accident en 6ans (légère collision avec un autre vehicule) Assureo a résilier mon contrat, me foutant dans la me.de  pour trouver une nouvelle assurance.";"j'ai rien trouvé";"au moindre faux pas ils ne vous loupent pas"
"Assez mauvais";"Mauvais";"Assez bonne";"Mauvais";"Très chère, n'accepte pas de modifier la date de prélèvement, résultats frais supplémentaires pour la banque !";"Jamais eu d'accident donc, ras";"Se permettent de donner des informations confidentielles à des inconnus"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Ne prenez surtout pas ce courtier en assurance auto, j'ai eu avec eux non seulement mon premier litige mais c'est le premier depuis que j'ai commencé a conduire  (10 ans ) et deviner quoi il m'ont envoyé une lettre de résiliation
D'autant plus que l'incident est vraiment minim 
ATTENTION ATTENTION à déconseiller vivement";"Le prix à condition de zéro litige ! !!!";"Vous ne serez pas bien défendu lors d'un litige et vous serez prié de débarrasser le plancher  (résilié ) au premier incident mineur ou majeur 
Manique non 
Attention attention"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"En cas de litige qui demande plus d'expertise, aller voir ailleurs.";"Le prix pour jeune conducteur";"Service et conseils médiocres
Ne défend pas ses clients
Clôture en cinq cinq vôtre dossier  (se réfugie derrière la loi des assurances, alors que vous leur apporter vous même les preuves qui conteste la loi dite)
vous font porter la responsabilité totale (augmentation malus) alors que la partie adverse reconnait l'entièreté de sa responsabilité lors du litige. 
Premier entretien avec conseiller médiocre et condescendant."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"FUYEZ !!!!
Devis annoncé non respecté, tant au niveau des frais d'adhésion (86€ au lieu de 4€), qu'au niveau des garanties demandées par le client (donc du montant des mensualités, 34€ au lieu de 27€ annoncés); interlocuteur incroyablement tenace et semblant  ""ne pas comprendre...""  pour tenter de faire passer ce ""léger"" réajustement de tarifs. En bref, environ 45 pour 100 de hausse par rapport au devis initial, et toutes les peines du monde pour tenter de faire machine arrière avec cet assureur. Ne vous engagez pas,
FUYEZ !!!!";"AUCUN !!!";"QUE DES SOUCIS !!!"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"J'ai connu cet assureur via un comparateur d'assurances.Aprés vérification de tous les documents à ma disposition il ont accepté mon dossier et m'ont tout de suite demandé de payer (94 euros pour ""des frais de dossiers"").Par la suite ils m'ont demandé un certain nombre de documents pour valider définitivement mon assurance afin d'avoir ma vignette définitive.Quand ils ont reçu tous les documents qu'il fallait ils m'ont dit que finalement ma cotisation me revenait à plus de 73 € alors même qu'ils m'avaient déjà envoyé ma cotisation mensuelle de 33€.La suite est incroyable.Ils m'ont envoyé un courrier recommandé pour résilier mon contrat alors qu'ils venaient juste de me prélever le montant de 33 euros (en dehors des 94€) déjà payés. Si j'ai un conseil à vous donner : NE VOUS ENGAGEZ PAS TROP VITE AVEC CET ASSUREUR.";"Pas d'avis";"pas d'avis"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Je suis assuré chez assureo depuis décembre 2016, j'ai déclaré un sinistre non responsable sur ma voiture et depuis que des problèmes... Le conseiller personnel n'existe pas puisque le conseiller est différent à chaque appel, apparemment ils suivent les appels grâce à un historique client. Ces soi-disant conseillés personnels ont la prétention de tout savoir et d'être apparemment des experts en sinistre, puisque à eux seuls, ils arrivent à savoir ce qui peut être abîmé ou non dans un accident. Je me suis assuré chez assureo, car le prix est très attractif, mais le service est inexistant, je vais changer d'assurance très prochainement...";"Les prix";"Tout"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"J'ai déclaré un sinistre au mois de décembre dernier (un petit accrochage dans la circulation, rien de grave mais j'étais responsable).
A noter que c'est mon premier sinistre depuis des années et le seul que j'ai déclaré chez Assureo.
15 jours après, mon contrat Auto à été résilié par lettre recommandé avec AR. 
Voila un Assureur qui fait bien son travail !!!
A éviter absolument.";"Je n'ai pas trouvé.";"Pas un assureur, une machine à faire de l'argent."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Nous sommes assurés depuis le 08 juillet 2016 et depuis ce jour c'est juste affolant comme personne n'écoute rien chez eux. On a soi disant un conseiller personnel mais encore faut il qu'il soit professionnel. On ne nous demande pas les documents qui sont nécessaires à la souscription au contrat pour ensuite nous dire que nous ne sommes pas sous garanties car il manque des documents. Je n'ai jamais vu une chose pareille. Un jour il manque les photos, un autre jour un courrier. Il demande 100e de frais de dossier et cela semble normal !!! On envoie des mail personne ne nous répond.. Au téléphone le discours change selon la personne sur qui vous tombez. En un mot pour résumer : FUYEZZZZ !!!! Ne vous faites surtout pas avoir par leur prix qui ne sont attractifs qu'au début...";"Rien";"Tout !!!"
"Mauvais";"Assez mauvais";"Assez bonne";"Mauvais";"Des prix attractifs au début, ensuite dès qu'il y a un changement même minime du dossier il faut payer. Des sommes aberrantes pour des changement mineures. De plus j'ai du changer de contrat auto, leur prix sont devenus totalement exubérants. Une assurance pourrie jusqu'a la moelle ...";"Rapidité pour conclure les contrats";"Leur prix qui varient sans arrêt."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Pour vous prendre de l'argent avec leur adhésion ils sont bons mais en fait n'écoutent même pas. Demande d'un contrat temporaire pour une voiture qu'on me prête , pas de soucis qu'on me dit . Mais par contre une fois payé c'est demande de justificatifs sur justificatifs. .. vous resilie. Donc vous laissez tomber en prenant d'autres dispositions et le lendemain ils changent d'avis et vous demandent de payer. ..";"Aucun";"Pas corrects."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Si je peux vous donner un conseil fuyer cette agence car cette assurance ne soucie guère du client. Aucun geste de la part n'est à attendre. Incompétant, employé désagréable, irrespectueux. Aucune consideration pour les ""clients"", lamentable intéreéssé uniquement par l'argent et non pas par la situation de l'assuré";"neant";"mal renseigné, mal formé ..."
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"fuyez!ne voulaissez pas berner par ce courtier... Aucune écoute....lenteur...une plate-forme  l'autre bout du monde.... biensur ils menacent et facturent...fuyez donc cette compagnie de courtiers qui n'en veulent qu'a votre argent";"prix attrayants";"evitez les ennuis souscrivez aupres d'une VRAIE assurance!"
"Très bonne";"Très bonne";"Bonne";"Très bonne";"Cliente pour un contrat assurance Auto je suis totalement satisfaite de la qualité des services de prise en charge de mon sinistre, j'ai pu choisir mon garagiste sans faire l'avance de la réparation malgré que celui ci n'était pas agréé par la compagnie d'assurance aucun souci rencontré, la relation clientèle très efficace et fort agréable tout cela avec des tarifs très compétitifs , je recommande ++++";"Les tarifs, l'efficacité, la rapidité , la relation clientéle";"Néant"
"Assez mauvais";"Mauvais";"Assez bonne";"Mauvais";"un courrier envoyé en février, leur réponse fin juin 2015, léger comme réactivité surtout pour une demande de réponse urgente ..... sur la suite à donner sur mon contrat assurance santé et les primes à régler, donc non couvert pendant cette période, peut être une façon de se dégager d'un contrat.....";"rien";"relation clientèle"
"Assez mauvais";"Mauvais";"Mauvais";"Assez mauvais";"Assureur exécrable. 
Ne vous communique pas les exclusions des garanties
 Vous n'avez pas les conditions générales.
Vous ne connaissez pas les garanties exactes,et surveiller les remboursements car certains disparaissent.évitez assuréo";"je n'en trouve pas";"Ne respecte pas les garantie du contrat
 Ne répond pas aux courriers"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"C'est une amie qui m'en a parlé, je ne connaissais pas et c'est dommage qu'on n'en parle pas parce que c'est vraiment pas cher. Je les ai appelés pour voir et ça change de l'assurance qu'on a depuis des années parce qu'ils m'ont bien conseillée.";"Ils sont à l'écoute, assez pro et pas cher c'est bien pour ajuster comme j'ai plusieurs enfants.";"il faut imprimer l'attestation, moi je l'ai envoyée par mail."
"Très bonne";"Très bonne";"Bonne";"Très bonne";"J'ai souscrit pour mon fils en maternelle la formule 3 Traquilité, qui le couvre en RC pour les activités scolaires et extrascolaires pour 20€ par an. Tout se fait directement sur le site www.Assurkids.fr par internet et de manière très rapide. Il n'y a pas de tacite reconduction tous les ans, mais une ide lors du renouvellement. C'est bien.";"Prix très compétitif
Facilité de souscription sur internet
Service au téléphone très clair
Pas de tacite reconduction, grande liberté";"RAS"
"Mauvais";"Mauvais";"Assez mauvais";"Mauvais";"Suite à une panne, j ai fait appel a l'assistance, je suis restée plus de 5h avec mon chien, mes sacs, à attendre un TAXI en plein soleil sans même un endroit pour m asseoir, le remorqueur m ayant amené jusqu'à son garage à la demande d Assuronline - garage fermé - m'emmenant à plus de 30km de l endroit de ma panne en pleine campagne et excentré de ma route initiale ...  Une horreur, je suis assurée chez eux depuis plus de 5 ans je n ai jamais fait appel à leur services !!! Et ben bonjour l angoisse ... puis nouvelle voiture pour remplacer celle en panne .. et il refuse maintenant la résiliation Loi Hamon disant que c un nouveau contrat ...CE N EST PAS UN ASSUREUR AUCUN SERVICE - AUCUNE ASSISTANCE";"rien";"TOUT, différence de plus de 25euro par mois par rapport à autre assureur"
"Assez bonne";"Assez mauvais";"Assez bonne";"Assez mauvais";"après le renvois de ma carte verte , de l'avenant de résiliation , de la cession de vente du véhicule , du justificatif de déclaration de vente a l'AGENCE NATIONALE DES TITRES SÉCURISÉS DÉPENDANT DU MINISTÈRE DE L' INTÉRIEUR toujours aucun remboursement je vais faire comme pour direct assurance je saisi un médiateur d'assurance";"attractif";"pas de retour clientèle"
"Mauvais";"Mauvais";"Assez mauvais";"Mauvais";"Plus de 6 mois que j'ai vendu mon scooter et j'attends toujours de leur part qu'ils me rembourse les mensualités qu'ils ont prélevé en trop je les ai appelé aucune réponse suite à cela ils m'ont envoyé un mail me disant qu'il fallait que je leur envoie l'acte de vente ainsi que le coupon vert d'assurance,  chose que j'ai fait et depuis aucune nouvelle de leur part, silence radio, le pire dans cette histoire c'est qui me déduit plus de 100 € pour frais de dossier car j'ai vendu mon véhicule avant une année complète d'assurance chez eux, une honte  je compte bien faire connaître cette histoire et mon opinion ainsi que mon expérience avec cette assurance
Moi qui voulait assurer mon auto chez eux....arg";"Rien ,ils vous prennent pour des bananes ,même les prix ne sont pas attractif";"Service téléphonique nul où vous écoute et oublie tout dans la seconde qui suit à croire que les employés font un concours de médiocrité"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Solicité pour un degat des eaux non responsable, aucune prise en charge.
Aucun courrier recu a ce jour pour notifier le refus , j'ai appelé pour savoir ou en etais ma demande et au tel on m'a notifié que je ne serais pas prise en charge par mon assurance habitation.
Je pense sincerement que cette assurance n'est pas une assurance et que les garantis ne sont pas acquises aupres des differentes assurances , 7 ans que je paie et le jour ou il m'arrive un probleme on cherche pas tous les moyens comment ne pas prendre en charge.";"Aucun";"Incompetent"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Injoignable au téléphone et service téléphonique zéro . Suite à un accident moto , je commence à mesurer le niveau de compétence de mon assureur .Le prix attire toujours le client et je comprends aujourd'hui , le prix du service se paie 
Pour les joindre , il faut s'armer de patience et pour être remboursé aussi.Ne pas prendre de contrat chez eux ou temps pis pour vous....";"rien";"Toujours pas remboursé après 2 mois .Ne pas s'arrurer chez eux"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"impossible de les joindre en cas de sinistre. 36heures d'appel et personne ne decroche.
la lettre recommandée suite au sinistre est arrivée chez eux depuis 8 jours et rien. Nul. le vide astral";"rien";"tout"
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"RESILIATION DU CONTRAT N° 3703122 LE 13/08/2015 - OBTENTION D'UN REMBOURSEMENT PARTIEL 21 MOIS PLUS TARD !!!";"AUCUN";"OBTENTION D'UN REMBOURSEMENT LE 23/05/2017 !!! DE LA SOMME DE 438,95 E REPRESENTANT UN TROP PERCU  ET DEPUIS IMPOSSIBILITE MALGRE PLUSIEURS DEMANDES D'OBTENIR LE DETAIL DE CETTE SOMME"
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"Assurance a bannir. J'ai eu un accident non responsable en début d'année. Depuis 5 mois je suis en attente du rapport d'expert pour faire réparer ma voiture. Ni les mails ni les appels à AssurOnline n'y font quoique ce soit. C'est comme si il n'y avait personne. Sur le site mon adresse mail, pourtant de correspondance n'est pas reconnu. Face à  tant de négligences et d'absence de professionnalisme je vais devoir les assigner devant le tribunal de proximité. L'an prochain je résilie mon contrat. Cette compagnie est en dessous de tout.";"On les cherche encore";"Aucun service client. Incapable de gérer un dossier de sinistre."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Je vous recommande de ne pas prendre cette assurance (AssurOnLine) ça va vous éviter pas mal de problèmes en cas d'accident!!!
Je vous invite vivement à demander les conditions en cas d'accident responsable et nos responsables avant de prendre un contrat.";"Prix attractif";"En cas d'accident Non responsable comme moi vous allez devoir attendre très longtemps pour être remboursé"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"J'ai été assuré chez eux pendant un an, pas d'accident, j'ai toujours payé en temps et en heure. J'ai cédé mon véhicule en juillet 2016 j'ai donc envoyé l'acte de cession par la suite en courrier simple, grosse erreur de ma part. En septembre 2016 j'étais encore prélevé j'ai donc appelé pour comprendre pourquoi et ils m'ont alors dit qu'ils n'avaient jamais reçu l'acte de cession alors que je les avais informés par téléphone en juillet lors de l'achat d'une autre moto pour être assuré chez eux. Le temps de retrouver l'acheteur et de faire les démarches auprès de la préfecture je n'ai pu renvoyé un duplicata de cession qu'en janvier 2017. Aucune compréhension de leur part aucun geste commercial alors que l'erreur de réception du premier certificat pourrait très bien venir de leur service je me suis donc retrouvé à perdre 210 € et reconnaisse avoir un trop perçu de cette somme mais ils comptent bien le garder. Très déçu par cette assurance je peux vous assurer que je n'y retournerai jamais et travaillant dans un garage je partagerai mon expérience. Pour conclure je la déconseille fortement.";"aucun";"tous"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Cela fait depuis le 10 octobre jour de mon accident non responsable avec constat en bonne et du forme que j'attends que ces personnes Veuille bien enfin réclamer la note à la partie adverse pour me donner le feu vert pour les réparations !!!!!";"Aucun";"Tous"
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"Bonjour je vous explique ma situation ayant acheter un fz6 en aout 2015, 1ans d'assurance sans problème, après les 1ans déjà l'assurance augmente déjà je trouve sa louche, ensuite ayant un accident le 23 juillet 2016 en étant tout risque, la moto a la casse et moi j'ai perdu 2 doigt dans l'accident, on est le 2 janvier 2017 toujours pas de remboursement pour ma moto et encore moins pour mon corporel malgres que j'appelle 2 fois par semaine on me dit que le traitement et en cours après que le remboursement n'a pas marcher a 2 fois faut arrêter de prendre des gens pour des débiles ( on ne peut pas dire de gros mots sur ce site sous peine de problème)   et des vache a lait seul option je pence prendre un avocat.";"Aucun plus a part que il assure n'importe quoi pour n'importe qui.";"Aucune réaction, il nous promène a droite a gauche"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Assurance incompétente. Aucune vignette verte depuis un an. On me demande un nouvel ordre de prélèvement bancaire en échange de la dite carte alors que mon compte est prélevé mensuellement.";"le prix et encore, lorsqu'on paie pour ne rien avoir, cela fait un peu chère!";"Suivi qualité quasi inexistant!!"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"assurance non serieuse. au niveau du remboursement de la caution de 230 euros pour la bonne conduite de mon fils!! cela fait un mois que j attend et ils me disent que je vais le recevoir toute les semaines  dans une semaine ..... FOUTAISE!";"aucun";"pleins"
"Assez mauvais";"Mauvais";"Assez mauvais";"Mauvais";"Un sinistre déclaré depuis des mois des courriers sans réponse 6 mois après un service client injoignable
un service commercial qui ne peut rien faire à part souscrire de nouveaux contrat ça la réactivité est à 100%";"Aucun si on a pas de retour";"Le service commercial qui vous assure et vous envoi tous les documents à signer dans la seconde"
"Très bonne";"Mauvais";"Mauvais";"Mauvais";"Bonjour voila j'ai eu un accident en raison en date du 31 août 2016 et depuis mon scooter et au garage car il n'a toujour pas reçu sont règlement et quand je les appelle il me disent que la facture a etait traite le 2 novembre 2016 et nous somme le 17 toujour rien il me disent encore d'attendre le courant de la semaine prochaine le garage a sa prise en charge vous pouvez récupérer votre scooter mes malheureusement il n'a pas confiance peux t'on angagee une procédure de plainte pour ces fait en leur encontre et est ce un motif de résiliation";"A ne pas souscrire j'aurai préféré paye plus chère";"A ne pas souscrire"
"Assez bonne";"Mauvais";"Assez bonne";"Mauvais";"Suite à un sinistre, la communication avec cette assurance a été très compliquée: le service devis est toujours prêt à vous répondre, mais le service sinistre impossible à joindre, même quand c'est transmis en interne entre services...De plus, on se retrouve à faire tout la gestion avec la dépanneuse, trouver un garage, etc... tout ça alors qu'on est même pas en tort dans l'accident...";"Devise fait rapidement";"Service sinistre et suivi très compliqué et pas du tout réactif"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Bonjour, 
Cette assurance c'est la plus mauvaise. J'ai eu un accident dans le début du mois d'octobre. J'ai fait appel a l'assistance pour obtenir une dépanneuse, j'ai attendu 20 minutes avant de les avoir en ligne et il m'ont dis de prévoir 45mn avant l'arrivée de la dépanneuse. La police municipale qui était présent lors de l'accident a du intervenir auprès de l'assistance car il y avait plus d'une heure qu'on attendait alors que ma voiture gênait la circulation car elle était en pleine voie.
La police a du faire intervenir une de leur dépanneuse car l'assistance qu'il ne pouvait pas se déplacer dans l'immédiat (j'ai récupérer le rapport de la police qui prouve les faits) J'ai payé un surplus de la dépanneuse qu'ils n'ont pas voulu me rembourser. Et ma voiture a du être emmener dans une fourrière et quand je leur a dit ils m'ont dis que cela était à ma charge alors qu'il devait faire venir un expert qui a ce jour n'est toujours pas passé et dont l'assurance me dit qu'il ne viendra pas mais quand j'appelle le cabinet d'expertise il me disent le la mission est tjrs prévue.
Il me balade de service en service et ne communique pas entre.  Encore un fait qu'il ne communique pas, l'expert censé passe 3 jours après l'accident et le dépôt de ma voiture a la fourrière m'appelle et me demande l'adresse d'où se trouve ma voiture. Es ce a moi de communiquer ce genre d'informations. En gros je me retrouve avec une facture de 800e car il me balade et que l'expert n'est toujours pas passer.";"Cette assurance dit qu'ils sont réactif alors qu'il ne le sont pas et qu'en plus ils sont de mauavuise foi quand au détail des faits.
J'ai décidé de porté plainte pour non assistance et être dédommagé des surplus de leur incompétences.";"Réaction très lente, temps d'attente au téléphone très longue et mauvaise foi et n'accompagne en rien l'assuré qui normalement quand on paie une assurance c'est pour etre prit en charge dans les meilleurs délai et causé moins de souci à l'assuré. Dans ce cas une assurance ne sert à rien à partir du moment ou on doit se débrouiller seul et tout payer par la suite."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Assuronline attribue des contrats d'assurance sans problème et sans même regarder les pièces. Les contrats sont peu chers, en revanche on en a pour son argent. Réactivité de 2 mois, renvoi de services en services au téléphone sans que personne ne puisse gérer le problème, les garanties ne sont vraiment pas bonnes.";"N/A";" N/A"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"assuronline vende des contrat qu il achete a des assurance normal qu il y est aucun suivi vous avez des operateur sur une plaforme moi j ai souscrit aupres normalement apres de SADA pris interressant mais aucun justificatif n etait bon le relevé d information ne leur convenait pas comme dit le proverbe il faut mieux s adresser a dieu qu a ses saints assuronline et eurroassurance meme combat  faut mieux payer plus cher chez un agent qui fait vivre sa societe que de traiter avec des personne qui aujourd hui font de l assurance demain on sait pas ces gens la tue internet car quand vous faite le devis la reponse est au nom de l assureur et d un seul coup c est assuronline a fuir";"rien";"les moins des operateur d une plateforme telephonique dont le metier c est operateur ce ne sont pas des pro de l assurance"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Accident reconnu en droit pour moi, un véhicule me percute à l'arrière ,j'étais arrêté à un stop. Depuis7 mois aucunes réactions positive de cette assurance. Me balade d'un service à un autre, personne très désagréable , voire agressive. Essaye de ne pas intervenir malgré que je sois irresponsable de cet accident, j'entame une procédure via ma protection juridique pour non respect de contrat. Attendre pour attendre....pour finir,  plus jamais cette assurance filiale de group generali-équité.";"Rien, NUL,";"Tout ."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"pneu eclate  le 05 mai sur autoroute  le 18 juin recois  comme quoi je suis responsable et que j ai pris qu elle chose sur la route  doit prendre un contres expert pour prouver ma bonne fois  car je n ai pas voulu rentre dans le systeme de l expert qui me demandez d aller chez un pot a lui";"personne au telephone  agreables";"attention de ne pas avoir de sinistres"
"Assez bonne";"Mauvais";"Assez bonne";"Mauvais";"honteux !!! et le mot est faible ..Victime d'un sinistre non responsable le 26/02/2016.toujours pas indemnisé..Aucune communication entre les services ..Incapable d' admettre leur incompétence essayer de mettre les torts sur le garagiste(preuve à l'appui) ou sur moi en nous menaçant.Envoyer une mise en demeure pour un prélévement refusé du véhicule qui ne m'appartient plus..Mettre en doute ma crédibilité alors que j'ai les factures d'orange avec tous les appels que j'ai passé..Je pose la question où sont les soit disant enregistrements ????";"Le prix mais on le paye en cas d'accident!";"Les assurés qui s'adressent à eux sont souvent dans une situation délicate..Ils profitent de leur faiblesse..."
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Assurance totalement inefficace et incompétente. Ils m'ont fait payer deux contrats pour la meme moto, et n'ont jamais envoyé la carte verte en un an. Lors d'un dialogue avec eux, on dirait qu'ils ne savent même pas eux mêmes de quoi ils parlent, ne connaissent presque rien comme par exemple la loi hammond qui permet de résilier au bout d'un an...ils n'ont pas été capable d'envoyer un recommandé à mon ancienne assurance ce qui fait que jai payé 3 contrats pour la meme moto du à leur incompétence hors norme. Je résilie des que j'atteins mon échéance au plus vite. Je déconseille fortement cette assurance.";"Aucun plus, leur incompétence règne, et lorsqu'on a un soucis, ils n'ont pas la réponse. C'est la pire des assurances que j'ai connu.";"Tout. Incompétence, erreurs multiples, carte verte jamais envoyée, mauvaises garanties, et j'en passe...."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Je n'ai jamais rencontré autant de mesquinerie de la part d'une assurance. Ayant trouvé beaucoup moins cher ailleurs, je décide de résilier (comme le permet la loi hamon) : il ne m'a fallu pas moins de 3 recommandés et 1 mois et demi d'attente pour y parvenir.
Première tentative : j'envoie un recommandé et je leur laisse  39 jours pour résilier. 
Quelle ne fut pas ma surprise d'être débité et d'entendre que la loi hamon n'est pas respectée (je n'aurais du leur laisser que 30 jours!!!)
deuxieme tentative : je me résouds à ecrire un autre recommandé en respectant le fameux délai de 30 jours. Ils me répondent que c'est à mon nouvel assureur de procéder à la résiliation.
La 3 eme tentative est la bonne , faite par mon nouvel assureur.
J'ai résilié à de nombreuses reprises, et c'est la premiere fois que je rencontre autant de difficultés pour le faire. Ce coté mesquin m'a beaucoup étonné et dénote à mon sens un réel manque de sérieux.";"rien (meme pour le prix, j'ai facilement trouvé moins cher)";"résiliation très difficile dans l'unique but de facturer 2 mois supplémentaires"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Assuronline une assurance bidon ya jamais personne qui dechroche dans le service gestion sa fait 7mois  Que j ai vendue ma voiture et il continue a prelever tous les mois et en plus    leur site informatique et pas terrible";"Ya rien de bon";"Tous pas de respect du client pas de  suivi apres envoi de document avec le service gestion qui son mal poli et repond 5jour apres le mail et je vous conseille de jamais prendre cette assurance qui sont juste la pour prelever les mensualiter et quand ya un souci ya plus personne a eviter"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Lors de ma résiliation, ils ont été d'une mauvaise foi flagrante concernant la loi HAMON. Concernant le service, ils sont très longs à répondre et le service n'est pas au rendez -vous.";"Je n'ai rien vu de positif chez eux.";"Font tout leur possible pour retarder une résiliation dans l'unique but de faire payer 2 mois de plus."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Un scandal  ! ATTENTION le choix confort n'est en faite qu'une assurance au TIERS avec vol et incendie elle ne couvre en aucun cas les dommages de VOTRE moto/scooter ! je viens d'en faire les frais 998euros de reparation pour ma pomme, etant non responsable de l'accident c'est une honte ! Un conseil de prennez jamais cette assurance ASSURONLINE";"AH oui le prix est attractif a l'affichage...";"Mais c'est super cher , pour ce qui vous couvre au final ! elle ne couvre que la partie adverse, et vous que dalle !! aucune couverture pour VOS dommages materiels !"
"Assez bonne";"Mauvais";"Assez bonne";"Mauvais";"Heureusement je n'ai jamais eu besoin de leur prestation au final. C'était à l'époque un moyen simple et facile de souscrire son assurance habitation de chez soi et pour un prix intéressant par rapport aux autres assurances.

Par contre, pour une société qui porte ""online"" dans 50% de son nom, on pourrait s'attendre à ce que leur portail web fonctionne au moins (sans même parler du fait que leur site est très loin de la pointe de la technologie web de ce millénaire).";"Souscription simple et rapide.

Le prix relativement bas par rapport aux autres assurances (au moins dans mon cas: F3-4 / 65m^2).";"Portail web / espace client défectueux depuis des années et il n'y a aucun signe qu'ils s'en occupent. Récuperer une attestation d'assurance ne marche pas en ligne (génération PDF ne marche pas)... ni peut-on déposer des pièces jointes par l'espace client (numéro de contrat pas attribué).

Par conséquence la communication se fait par mail. Sauf qu'un cycle de communication peut durer une semaine à une bonne dizaine de journées."
"Bonne";"Très bonne";"Bonne";"Bonne";"Client depuis quelques mois et ayant eu un sinistre non responsable il y a quelques jours, je suis satisfait de la résolution du sinistre. Le service client s'est montré agréable et réactif. Pour l'instant rien à redire.";"l'application mobile, le prix, le service client";"des garanties pas toujours claires"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"J'ai assuré mon scooter en mai. tout était serieux au depart (rapidité, clarté des renseignements, prix) mais j'ai vite dechanté. Ont mal enregistré mon RIB, d'où mise en demeure, frais de dossier. Apres des dizaines d'interlocuteurs, mon contrat a été résilié pour non paiement (alors que réglé par chèque pour les arranger) et je suis toujours en attente d'un courrier de leur part attestant que ce n'est pas de ma faute (pour mon prochain assureur). Cela dure depuis des mois. Bande d'incapables !";"Ben... rien !";"TOUT ! A éviter. Prix attractifs mais au final, aucune prestation, aucun suivi, centre clients incompétent..."
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"AssurOnline avec des Franchise exorbitant ne prend en charge que très peu de chose... Au final bien plus cher par /an ou /mois pour payer au final 80% de la note pour un sinistre ""non responsable"" en TOUT RISQUE !!!";"RIEN !!!!";"- fermé les week ends
- rembourse très mal même en cas de sinistre non 
- responsable et en tout risque !
- plein d'autre choses.."
"Bonne";"Assez bonne";"Assez bonne";"Assez bonne";"Contrairement au autre avis sur cette assurance simple rapide quand on donne correctement les papiers, quand on ne ments pas sur sont relever d information. Enfin bref en trois jours j ai reçu ma nouvelle carte verte . C est partis pour un ans d assurance chez eux.";"Prix et rapide d action pour le moment";"Pour le moment rien"
